name,kBenderDco,kBenderVcf,kArpRate,kLfoRate,kLfoDelay,kDcoLfo,kDcoPwm,kDcoSub,kDcoNoise,kHpfFreq,kVcfFreq,kVcfRes,kVcfEnv,kVcfLfo,kVcfKbd,kVcaLevel,kEnvA,kEnvD,kEnvS,kEnvR,kTranspose,kHold,kArpeggio,kDcoPulse,kDcoSaw,kDcoSubSw,kChorusOff,kChorusI,kChorusII,kOctTranspose,kArpMode,kArpRange,kLfoMode,kPwmMode,kVcfEnvInv,kVcaMode,kBender,kTuning,kPower,kPortaMode,kPortaRate,kTransposeOffset,kBenderLfo,kAdsrMode
"B74 Violin (high)",0.000000,0.000000,0.944882,0.559055,0.354331,0.173228,0.000000,0.000000,0.000000,[0],0.700787,0.000000,0.000000,0.023622,0.944882,0.669291,0.338583,0.354331,0.448819,0.204724,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B75 High Bells",0.000000,0.000000,0.944882,0.236220,0.354331,1.000000,0.000000,0.000000,0.000000,[3],0.598425,1.000000,0.000000,0.000000,1.000000,0.874016,0.000000,0.173228,0.409449,0.464567,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B76 Rolling Wah",0.000000,0.000000,0.944882,0.283465,0.000000,0.000000,1.000000,0.000000,0.000000,[0],0.472441,0.070866,0.000000,1.000000,0.000000,0.606299,0.267717,0.433071,1.000000,0.826772,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B77 Ping Bell",0.000000,0.000000,0.944882,0.000000,0.086614,0.000000,0.990476,0.000000,0.000000,[0],0.598425,1.000000,0.000000,0.000000,1.000000,0.653543,0.000000,0.181102,0.181102,0.448819,0.000000,[0],[0],[1],[0],[0],[0],[1],[0],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B78 Brassy Organ",0.000000,0.000000,0.944882,0.125984,0.000000,0.000000,0.647619,0.440945,0.000000,[0],0.062992,0.000000,0.685039,0.000000,0.409449,0.110236,0.000000,0.283465,0.858268,0.000000,0.000000,[0],[0],[1],[1],[1],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B81 Low Dark Strings",0.000000,0.000000,0.944882,0.165354,0.354331,0.039370,0.771429,0.000000,0.000000,[0],0.559055,0.000000,0.000000,0.000000,0.811024,0.314961,0.653543,0.181102,0.858268,0.330709,0.000000,[0],[0],[1],[1],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B82 Piccolo Trumpet",0.000000,0.000000,0.944882,0.401575,1.000000,0.000000,0.695238,0.000000,0.000000,[0],0.000000,0.000000,0.740157,0.000000,1.000000,0.763780,0.023622,0.346457,0.401575,0.086614,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B83 Cello",0.000000,0.000000,0.944882,0.448819,0.354331,0.165354,0.000000,0.000000,0.000000,[0],0.590551,0.000000,0.023622,0.007874,0.354331,0.858268,0.377953,0.511811,0.708661,0.267717,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B84 High Strings",0.000000,0.000000,0.944882,0.629921,0.000000,0.078740,0.666667,0.000000,0.000000,[0],0.724409,0.000000,0.000000,0.000000,0.559055,0.377953,0.212598,0.448819,0.448819,0.322835,0.000000,[0],[0],[1],[1],[0],[0],[0],[1],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B85 Rocket Men",0.000000,0.000000,0.944882,0.850394,0.000000,0.000000,0.000000,0.000000,0.000000,[0],0.866142,1.000000,0.629921,0.496063,1.000000,0.000000,0.000000,1.000000,0.401575,0.700787,0.000000,[0],[0],[0],[0],[0],[0],[0],[1],[1],[0],[0],[0],[0],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B86 Forbidden Planet",0.000000,0.000000,0.944882,0.393701,0.086614,0.000000,0.419048,0.070866,0.000000,[3],0.228346,0.031496,0.692913,0.039370,0.748031,0.622047,0.000000,0.377953,0.181102,0.330709,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[2],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B87 Froggy",0.000000,0.000000,0.944882,0.614173,0.000000,0.000000,0.000000,1.000000,0.000000,[1],0.433071,1.000000,0.338583,0.000000,1.000000,0.606299,0.000000,0.000000,0.000000,0.000000,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[0],[0],[0],[0],[1],[1],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B88 Owgan",0.000000,0.000000,0.944882,0.393701,0.000000,0.000000,0.428571,0.440945,0.000000,[0],0.299213,0.661417,0.251969,0.000000,1.000000,0.795276,0.000000,0.385827,0.433071,0.000000,0.000000,[0],[0],[1],[1],[1],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
